5/27/25, 8:30 AM
Project Statistics

                 	Segments	Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2460	52183	                 238172	                286660	    17	
Remaining:       	    2450	51586	                 235385	                283296	    17	
Unique:          	    2209	51946	                 235998	                284461	    17	
Unique Remaining:	    2199	51349	                 233211	                281097	    17	


Individual File Statistics:

File Name        	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
book-1.xhtml     	            67	                57	             67	                       57	       2921	           2324	        2921	                  2324	                        13645	                            10858	                         13645	                                   10858	                       16422	                           13058	                        16422	                                  13058	
book-2.xhtml     	            80	                80	             77	                       77	       2376	           2376	        2371	                  2371	                        10403	                            10403	                         10367	                                   10367	                       12669	                           12669	                        12633	                                  12633	
book-3.xhtml     	            70	                70	             67	                       67	       2844	           2844	        2839	                  2839	                        12955	                            12955	                         12919	                                   12919	                       15701	                           15701	                        15665	                                  15665	
book-4.xhtml     	           168	               168	            165	                      165	       4290	           4290	        4285	                  4285	                        19413	                            19413	                         19377	                                   19377	                       23497	                           23497	                        23461	                                  23461	
book-5.xhtml     	           159	               159	            156	                      156	       4480	           4480	        4475	                  4475	                        19311	                            19311	                         19275	                                   19275	                       23590	                           23590	                        23554	                                  23554	
book-6.xhtml     	           164	               164	            161	                      161	       4515	           4515	        4510	                  4510	                        19835	                            19835	                         19799	                                   19799	                       24165	                           24165	                        24129	                                  24129	
book-7.xhtml     	           208	               208	            203	                      203	       4363	           4363	        4355	                  4355	                        19565	                            19565	                         19516	                                   19516	                       23659	                           23659	                        23609	                                  23609	
book-8.xhtml     	           208	               208	            204	                      204	       4528	           4528	        4519	                  4519	                        19847	                            19847	                         19797	                                   19797	                       24114	                           24114	                        24061	                                  24061	
book-9.xhtml     	           175	               175	            171	                      171	       4242	           4242	        4234	                  4234	                        18969	                            18969	                         18924	                                   18924	                       23003	                           23003	                        22956	                                  22956	
book-10.xhtml    	           173	               173	            170	                      170	       4559	           4559	        4554	                  4554	                        20086	                            20086	                         20050	                                   20050	                       24414	                           24414	                        24378	                                  24378	
book-11.xhtml    	           143	               143	            139	                      139	       3870	           3870	        3860	                  3860	                        17138	                            17138	                         17087	                                   17087	                       20812	                           20812	                        20757	                                  20757	
colophon.xhtml   	            44	                44	             41	                       41	        210	            210	         205	                   205	                         1644	                             1644	                          1595	                                    1595	                        1775	                            1775	                         1726	                                   1726	
book-12.xhtml    	           126	               126	            123	                      123	       3133	           3133	        3128	                  3128	                        14141	                            14141	                         14105	                                   14105	                       17104	                           17104	                        17068	                                  17068	
endnotes.xhtml   	           626	               626	            434	                      434	       5253	           5253	        5132	                  5132	                        27867	                            27867	                         26543	                                   26543	                       31860	                           31860	                        30524	                                  30524	
imprint.xhtml    	            21	                21	             11	                       11	        224	            224	         199	                   199	                         1351	                             1351	                          1124	                                    1124	                        1538	                            1538	                         1308	                                   1308	
titlepage.xhtml  	             8	                 8	              5	                        5	         16	             16	          11	                    11	                          134	                              134	                           101	                                     101	                         139	                             139	                          106	                                    106	
uncopyright.xhtml	            20	                20	             15	                       15	        359	            359	         348	                   348	                         1868	                             1868	                          1774	                                    1774	                        2198	                            2198	                         2104	                                   2104	
